Dish,Main Course/Starter/Snacks,Veg/Chicken/Other Non Veg,Gravy/Dry
CHOLE BATHURE,Snacks,Veg,Gravy
ROLL,Snacks,Veg,Dry
SAMOSA,Snacks,Veg,Dry
KULCHE/KULCHA,Snacks,Veg,Dry
PANI PURI,Snacks,Veg,Gravy
GOLGAPPE,Snacks,Veg,Gravy
PHUCHKA,Snacks,Veg,Gravy
CHILLI PANEER,Snacks,Veg,Dry
MOMO,Snacks,Veg,Dry
POORAN POLI,Snacks,Veg,Dry
PARATHA,Snacks,Veg,Dry
IDLI,Snacks,Veg,Gravy
APPAM,Snacks,Veg,Dry
PATHRODE,Snacks,Veg,Dry
CHOWMEIN,Snacks,Veg,Dry
CHILLI POTATO,Snacks,Veg,Dry
THENTHUK,Snacks,Veg,Gravy
DOSA,Snacks,Veg,Gravy
KHAKHRA,Snacks,Veg,Dry
KHANDVI,Snacks,Veg,Dry
PAPRI CHAAT,Snacks,Veg,Dry
PAV BHAJI,Snacks,Veg,Dry
BHELPURI,Snacks,Veg,Dry
ALOO TIKKI,Snacks,Veg,Dry
UPMA,Snacks,Veg,Dry
PAKORA,Snacks,Veg,Dry
APPAM,Snacks,Veg,Dry
VADA PAV,Snacks,Veg,Dry
POHA,Snacks,Veg,Dry
PUTTU,Snacks,Veg,Dry
PORIYAL,Snacks,Veg,Dry
DHOKLA,Snacks,Veg,Dry
BATATA VADA,Snacks,Veg,Dry
KACHORI,Snacks,Veg,Dry
BEDHAI,Snacks,Veg,Dry
PALAK CHAAT,Snacks,Veg,Dry
SANDWICH,Snacks,Veg,Dry
KHANDVI,Snacks,Veg,Dry
SWARAMA,Snacks,Veg,Dry
SEV PURI,Snacks,Veg,Dry
ALOO CHAAT,Snacks,Veg,Dry
RAJ KACHORI,Snacks,Veg,Gravy
GARLIC BREAD,Snacks,Veg,Dry
STUFFED PARATHA,Snacks,Veg,Dry
FRENCH FRIES,Snacks,Veg,Dry
SUB,Snacks,Veg,Dry
CRISPY CORN,Snacks,Veg,Dry
KEBAB,Snacks,Veg,Dry
PIZZA,Snacks,Veg,Dry
BOILED EGG,Snacks,Other Non Veg,Dry
CHICKEN HYDERABADI,Main Course,Chicken,Gravy
BOTI FRY,Starter,Other Non Veg,Dry
CHICKEN SUKKA,Starter,Chicken,Dry
CHICKEN MAJESTIC,Starter,Chicken,Dry
PRAWN 65,Starter,Other Non Veg,Dry
VEG HYDERABADI,Main Course,Veg,Gravy
KUNG PAO CHICKEN,Starter,Chicken,Dry
METHI CHICKEN,Main Course,Chicken,Gravy
VEG CHINESE CHOPSUEY,Snacks,Veg,Dry
EGG ROAST,Snacks,Other Non Veg,Dry
CHICKEN ROGAN JOSH,Main Course,Chicken,Gravy
VEG KORMA,Main Course,Veg,Dry
PANEER KORMA,Main Course,Veg,Dry
MIXED VEG CURRY,Main Course,Other Non Veg,Dry
KADAI MUTTON,Main Course,Other Non Veg,Gravy
